tid,country,tname,winnings
1,USA,Cloud9,153050
2,USA,Sentinels,568500
3,Europe,FunPlus Phoenix,479992
4,Europe,FNATIC,402285
5,Europe,Team Liquid,378152
6,Europe,Acend,539599
7,Sweden,Guild Esports,128899
8,USA,OpTic Gaming,750500
9,USA,100 Thieves,249000
10,USA,The Guard,85750
11,Brazil,LOUD,467507
12,Brazil,Ninjas in Pyjamas,45991
13,Brazil,FURIA,105752
14,Brazil,Stars Horizon,17590
15,Singapore,Paper Rex,338362
16,Indonesia,BOOM Esports,88168
17,Singapore,BLEED,49390
18,India,Enigma Gaming,64631
19,Philippines,Team Secret,65932
20,South Korea,DRX,459752
21,South Korea,Gen.G,81500
22,South Korea,T1,46650
23,South Korea,DAMWON Gaming,54985
